cntry;essround;idno;pspwght;pweight;polintr;happy;gndr;yrbrn;agea;chldhm;edulvla;eisced;eduyrs;pdwrk;edctn;wkhtot;isco08;uemp3m;hinctnta
CH;8;3245;1.032253623;0.464939934;1;5;1;1966;50;2;5;7;18;1;0;40;2500;2;1
CH;8;3248;1.033508062;0.464939934;2;8;1;1988;28;2;3;3;13;1;0;60;3412;2;3
CH;8;3249;1.147626638;0.464939934;3;7;2;1983;33;2;5;7;19;1;0;50;2421;2;9
CH;8;3251;1.160116434;0.464939934;2;7;2;1986;30;2;5;7;18;1;0;55;6130;2;77
CH;8;3257;1.022381425;0.464939934;2;8;1;1990;26;2;3;3;9;1;0;45;7200;1;8
CH;8;3262;0.993800044;0.464939934;1;5;1;1974;42;2;5;5;9;1;0;42;3322;2;4
CH;8;3263;1.147626638;0.464939934;2;9;2;1987;30;2;5;7;12;1;0;70;2210;2;8
CH;8;3265;1.022381425;0.464939934;2;8;1;1988;28;2;5;7;17;1;0;42;2413;2;9
CH;8;3266;1.140466452;0.464939934;2;9;2;1980;36;1;3;3;9;1;0;25;4110;2;6
CH;8;3269;0.899520457;0.464939934;2;8;1;1992;25;2;3;3;19;1;0;55;3123;2;10
CH;8;3274;1.152878165;0.464939934;2;8;2;1970;46;1;3;3;12;0;0;42;3256;2;6
CH;8;3277;0.972100914;0.464939934;3;6;2;1986;30;1;3;3;9;1;0;19;4120;2;6
CH;8;3281;1.090924263;0.464939934;2;9;2;1958;58;2;5;7;12;1;0;24;3221;2;8
CH;8;3285;1.033508062;0.464939934;3;5;1;1992;24;2;3;3;14;1;0;40;7411;2;5
CH;8;3286;0.993800044;0.464939934;2;10;1;1963;53;2;3;4;18;1;0;48;1330;2;7
CH;8;3288;0.872584283;0.464939934;2;8;1;1982;34;2;5;7;17;1;0;42;2310;2;9
CH;8;3290;1.186012149;0.464939934;2;5;1;1964;53;2;3;3;9;1;0;45;3123;2;1
CH;8;3292;1.033508062;0.464939934;2;10;1;1985;31;2;3;3;16;1;0;28;1120;2;6
CH;8;3295;1.186012149;0.464939934;2;8;1;1980;36;2;5;6;12;1;0;45;3324;1;6
CH;8;3301;1.032253623;0.464939934;4;10;1;1974;42;1;5;5;17;1;0;70;1210;2;8
CH;8;3308;1.152878165;0.464939934;4;8;2;1971;45;2;1;1;6;1;0;42;4321;2;3
CH;8;3311;1.147626638;0.464939934;3;9;2;1994;22;2;3;3;9;1;0;47;1120;1;88
CH;8;3312;0.872584283;0.464939934;2;8;1;1985;31;2;3;3;9;1;0;48;3313;1;9
CH;8;3314;1.033508062;0.464939934;4;8;1;1987;29;2;3;3;12;1;0;46;6113;2;77
CH;8;3316;0.866011918;0.464939934;2;9;1;1989;27;2;5;6;14;1;0;45;3131;2;7
CH;8;3318;1.003414631;0.464939934;2;5;2;1969;47;1;3;3;9;0;0;30;5141;2;6
CH;8;3322;1.003414631;0.464939934;4;5;2;1965;51;1;3;3;9;1;0;37;9110;2;7
CH;8;3323;0.899520457;0.464939934;4;8;1;1999;17;2;2;2;9;0;1;40;5120;2;88
CH;8;3325;1.147626638;0.464939934;3;10;2;1986;30;2;5;7;22;1;0;50;2000;1;5
CH;8;3326;1.001342416;0.464939934;4;7;1;1971;46;1;3;3;8;1;0;43;7123;2;2
CH;8;3331;0.759676516;0.464939934;2;9;1;1956;60;2;2;2;8;0;0;45;8343;2;2
CH;8;3334;1.003414631;0.464939934;2;7;2;1965;51;2;5;5;9;0;0;44;5222;1;2
CH;8;3336;0.972100914;0.464939934;3;7;2;1991;25;2;5;5;9;1;0;42;5223;2;6
CH;8;3338;1.147626638;0.464939934;1;8;2;1984;32;2;5;6;9;1;0;25;2621;1;1
CH;8;3342;1.160116434;0.464939934;2;10;2;1984;32;2;5;6;19;1;0;33;4120;1;5
